,TREAT,SITE,IV3
86,1.00435657882,-0.660862414149,-0.854783477312
60,-0.993930731985,-0.660862414149,-0.854783477312
228,1.00435657882,-0.660862414149,1.16785232291
226,1.00435657882,-0.660862414149,1.16785232291
540,-0.993930731985,1.51054266091,-0.854783477312
475,1.00435657882,1.51054266091,-0.854783477312
505,-0.993930731985,1.51054266091,-0.854783477312
38,-0.993930731985,-0.660862414149,-0.854783477312
191,-0.993930731985,-0.660862414149,-0.854783477312
484,1.00435657882,1.51054266091,-0.854783477312
382,1.00435657882,-0.660862414149,-0.854783477312
400,-0.993930731985,1.51054266091,1.16785232291
125,1.00435657882,-0.660862414149,1.16785232291
449,-0.993930731985,1.51054266091,-0.854783477312
256,-0.993930731985,-0.660862414149,-0.854783477312
355,1.00435657882,-0.660862414149,1.16785232291
433,-0.993930731985,1.51054266091,-0.854783477312
302,1.00435657882,-0.660862414149,-0.854783477312
246,-0.993930731985,-0.660862414149,-0.854783477312
315,-0.993930731985,-0.660862414149,-0.854783477312
113,-0.993930731985,-0.660862414149,-0.854783477312
114,-0.993930731985,-0.660862414149,-0.854783477312
543,-0.993930731985,1.51054266091,-0.854783477312
437,-0.993930731985,1.51054266091,-0.854783477312
91,1.00435657882,-0.660862414149,1.16785232291
457,1.00435657882,1.51054266091,-0.854783477312
336,1.00435657882,-0.660862414149,-0.854783477312
283,-0.993930731985,-0.660862414149,1.16785232291
324,-0.993930731985,-0.660862414149,-0.854783477312
384,1.00435657882,-0.660862414149,-0.854783477312
36,-0.993930731985,-0.660862414149,-0.854783477312
197,-0.993930731985,-0.660862414149,1.16785232291
468,1.00435657882,1.51054266091,-0.854783477312
269,1.00435657882,-0.660862414149,1.16785232291
411,1.00435657882,1.51054266091,-0.854783477312
232,1.00435657882,-0.660862414149,-0.854783477312
466,1.00435657882,1.51054266091,-0.854783477312
424,1.00435657882,1.51054266091,1.16785232291
49,1.00435657882,-0.660862414149,1.16785232291
440,1.00435657882,1.51054266091,-0.854783477312
55,-0.993930731985,-0.660862414149,1.16785232291
501,-0.993930731985,1.51054266091,-0.854783477312
51,1.00435657882,-0.660862414149,-0.854783477312
323,-0.993930731985,-0.660862414149,-0.854783477312
233,1.00435657882,-0.660862414149,-0.854783477312
331,1.00435657882,-0.660862414149,-0.854783477312
469,1.00435657882,1.51054266091,-0.854783477312
529,1.00435657882,1.51054266091,-0.854783477312
93,1.00435657882,-0.660862414149,-0.854783477312
441,1.00435657882,1.51054266091,1.16785232291
62,-0.993930731985,-0.660862414149,1.16785232291
122,1.00435657882,-0.660862414149,1.16785232291
202,-0.993930731985,-0.660862414149,-0.854783477312
92,1.00435657882,-0.660862414149,1.16785232291
11,1.00435657882,-0.660862414149,-0.854783477312
106,-0.993930731985,-0.660862414149,-0.854783477312
420,-0.993930731985,1.51054266091,1.16785232291
408,1.00435657882,1.51054266091,-0.854783477312
129,1.00435657882,-0.660862414149,1.16785232291
545,1.00435657882,1.51054266091,-0.854783477312
403,-0.993930731985,1.51054266091,-0.854783477312
39,1.00435657882,-0.660862414149,1.16785232291
141,-0.993930731985,-0.660862414149,-0.854783477312
254,-0.993930731985,-0.660862414149,1.16785232291
555,1.00435657882,1.51054266091,-0.854783477312
140,-0.993930731985,-0.660862414149,1.16785232291
419,-0.993930731985,1.51054266091,-0.854783477312
372,-0.993930731985,-0.660862414149,1.16785232291
453,-0.993930731985,1.51054266091,-0.854783477312
103,-0.993930731985,-0.660862414149,-0.854783477312
402,-0.993930731985,1.51054266091,1.16785232291
57,-0.993930731985,-0.660862414149,-0.854783477312
81,-0.993930731985,-0.660862414149,-0.854783477312
477,-0.993930731985,1.51054266091,1.16785232291
131,1.00435657882,-0.660862414149,1.16785232291
532,1.00435657882,1.51054266091,-0.854783477312
452,-0.993930731985,1.51054266091,-0.854783477312
196,-0.993930731985,-0.660862414149,-0.854783477312
431,-0.993930731985,1.51054266091,-0.854783477312
534,1.00435657882,1.51054266091,1.16785232291
82,-0.993930731985,-0.660862414149,1.16785232291
347,-0.993930731985,-0.660862414149,1.16785232291
482,1.00435657882,1.51054266091,1.16785232291
448,-0.993930731985,1.51054266091,-0.854783477312
17,1.00435657882,-0.660862414149,-0.854783477312
509,1.00435657882,1.51054266091,-0.854783477312
263,-0.993930731985,-0.660862414149,-0.854783477312
194,-0.993930731985,-0.660862414149,1.16785232291
284,-0.993930731985,-0.660862414149,1.16785232291
133,-0.993930731985,-0.660862414149,1.16785232291
16,1.00435657882,-0.660862414149,1.16785232291
168,1.00435657882,-0.660862414149,-0.854783477312
234,1.00435657882,-0.660862414149,1.16785232291
126,1.00435657882,-0.660862414149,1.16785232291
127,1.00435657882,-0.660862414149,-0.854783477312
348,-0.993930731985,-0.660862414149,1.16785232291
564,1.00435657882,1.51054266091,1.16785232291
401,-0.993930731985,1.51054266091,1.16785232291
552,-0.993930731985,1.51054266091,-0.854783477312
282,-0.993930731985,-0.660862414149,1.16785232291
291,1.00435657882,-0.660862414149,1.16785232291
487,-0.993930731985,1.51054266091,-0.854783477312
436,-0.993930731985,1.51054266091,-0.854783477312
435,-0.993930731985,1.51054266091,1.16785232291
130,1.00435657882,-0.660862414149,1.16785232291
454,1.00435657882,1.51054266091,-0.854783477312
26,-0.993930731985,-0.660862414149,-0.854783477312
392,-0.993930731985,-0.660862414149,1.16785232291
218,1.00435657882,-0.660862414149,-0.854783477312
377,1.00435657882,-0.660862414149,-0.854783477312
59,-0.993930731985,-0.660862414149,-0.854783477312
567,1.00435657882,1.51054266091,-0.854783477312
416,1.00435657882,1.51054266091,-0.854783477312
162,1.00435657882,-0.660862414149,-0.854783477312
251,-0.993930731985,-0.660862414149,1.16785232291
31,-0.993930731985,-0.660862414149,1.16785232291
116,1.00435657882,-0.660862414149,1.16785232291
206,-0.993930731985,-0.660862414149,-0.854783477312
316,-0.993930731985,-0.660862414149,1.16785232291
245,-0.993930731985,-0.660862414149,1.16785232291
117,1.00435657882,-0.660862414149,-0.854783477312
367,-0.993930731985,-0.660862414149,-0.854783477312
21,-0.993930731985,-0.660862414149,1.16785232291
253,-0.993930731985,-0.660862414149,1.16785232291
185,-0.993930731985,-0.660862414149,1.16785232291
210,1.00435657882,-0.660862414149,1.16785232291
373,-0.993930731985,-0.660862414149,1.16785232291
495,-0.993930731985,1.51054266091,1.16785232291
67,-0.993930731985,-0.660862414149,1.16785232291
227,1.00435657882,-0.660862414149,-0.854783477312
65,-0.993930731985,-0.660862414149,1.16785232291
357,1.00435657882,-0.660862414149,-0.854783477312
5,1.00435657882,-0.660862414149,1.16785232291
375,1.00435657882,-0.660862414149,1.16785232291
149,1.00435657882,-0.660862414149,-0.854783477312
112,-0.993930731985,-0.660862414149,1.16785232291
474,-0.993930731985,1.51054266091,-0.854783477312
236,1.00435657882,-0.660862414149,1.16785232291
527,1.00435657882,1.51054266091,1.16785232291
480,1.00435657882,1.51054266091,-0.854783477312
24,-0.993930731985,-0.660862414149,1.16785232291
514,1.00435657882,1.51054266091,-0.854783477312
388,-0.993930731985,-0.660862414149,1.16785232291
166,1.00435657882,-0.660862414149,-0.854783477312
516,-0.993930731985,1.51054266091,-0.854783477312
153,1.00435657882,-0.660862414149,-0.854783477312
412,1.00435657882,1.51054266091,-0.854783477312
215,1.00435657882,-0.660862414149,-0.854783477312
327,-0.993930731985,-0.660862414149,-0.854783477312
279,-0.993930731985,-0.660862414149,-0.854783477312
329,1.00435657882,-0.660862414149,1.16785232291
531,1.00435657882,1.51054266091,-0.854783477312
187,-0.993930731985,-0.660862414149,-0.854783477312
145,-0.993930731985,-0.660862414149,1.16785232291
443,1.00435657882,1.51054266091,-0.854783477312
137,-0.993930731985,-0.660862414149,-0.854783477312
222,1.00435657882,-0.660862414149,-0.854783477312
2,1.00435657882,-0.660862414149,1.16785232291
541,1.00435657882,1.51054266091,-0.854783477312
345,-0.993930731985,-0.660862414149,-0.854783477312
209,1.00435657882,-0.660862414149,-0.854783477312
101,-0.993930731985,-0.660862414149,1.16785232291
40,1.00435657882,-0.660862414149,-0.854783477312
44,1.00435657882,-0.660862414149,1.16785232291
157,1.00435657882,-0.660862414149,-0.854783477312
83,1.00435657882,-0.660862414149,-0.854783477312
97,-0.993930731985,-0.660862414149,-0.854783477312
306,1.00435657882,-0.660862414149,1.16785232291
536,1.00435657882,1.51054266091,-0.854783477312
85,1.00435657882,-0.660862414149,1.16785232291
428,1.00435657882,1.51054266091,-0.854783477312
19,1.00435657882,-0.660862414149,1.16785232291
548,-0.993930731985,1.51054266091,-0.854783477312
321,-0.993930731985,-0.660862414149,1.16785232291
120,1.00435657882,-0.660862414149,1.16785232291
135,-0.993930731985,-0.660862414149,1.16785232291
6,1.00435657882,-0.660862414149,1.16785232291
519,-0.993930731985,1.51054266091,-0.854783477312
287,1.00435657882,-0.660862414149,-0.854783477312
359,1.00435657882,-0.660862414149,-0.854783477312
560,1.00435657882,1.51054266091,-0.854783477312
394,-0.993930731985,-0.660862414149,1.16785232291
470,-0.993930731985,1.51054266091,-0.854783477312
559,1.00435657882,1.51054266091,-0.854783477312
471,-0.993930731985,1.51054266091,-0.854783477312
173,1.00435657882,-0.660862414149,1.16785232291
292,1.00435657882,-0.660862414149,-0.854783477312
479,1.00435657882,1.51054266091,-0.854783477312
274,1.00435657882,-0.660862414149,1.16785232291
458,1.00435657882,1.51054266091,-0.854783477312
203,-0.993930731985,-0.660862414149,1.16785232291
486,-0.993930731985,1.51054266091,1.16785232291
22,-0.993930731985,-0.660862414149,-0.854783477312
483,1.00435657882,1.51054266091,-0.854783477312
460,-0.993930731985,1.51054266091,1.16785232291
351,1.00435657882,-0.660862414149,-0.854783477312
8,1.00435657882,-0.660862414149,1.16785232291
297,1.00435657882,-0.660862414149,-0.854783477312
109,-0.993930731985,-0.660862414149,1.16785232291
188,-0.993930731985,-0.660862414149,-0.854783477312
217,1.00435657882,-0.660862414149,-0.854783477312
176,1.00435657882,-0.660862414149,-0.854783477312
310,1.00435657882,-0.660862414149,-0.854783477312
20,-0.993930731985,-0.660862414149,-0.854783477312
34,-0.993930731985,-0.660862414149,-0.854783477312
276,1.00435657882,-0.660862414149,-0.854783477312
554,1.00435657882,1.51054266091,-0.854783477312
